DN_-50c,Tau_-50c,DN_-25c,Tau_-25c,DN_0c,Tau_0c,DN_30c,Tau_30c,DN_50c,Tau_50c,DN_75c,Tau_75c,DN_100c,Tau_100c,DN_125c,Tau_125c
3.11E+13,2.45E-05,3.31E+13,2.00E-05,3.13E+13,1.81E-05,3.10E+13,1.75E-05,2.18E+13,2.36E-05,2.14E+13,3.54E-05,2.13E+13,5.61E-05,2.06E+13,8.55E-05
3.38E+13,2.45E-05,3.51E+13,2.00E-05,3.19E+13,1.81E-05,3.33E+13,1.75E-05,2.34E+13,2.36E-05,2.34E+13,3.54E-05,2.37E+13,5.61E-05,2.35E+13,8.55E-05
3.70E+13,2.46E-05,3.75E+13,2.00E-05,3.53E+13,1.81E-05,3.55E+13,1.75E-05,2.50E+13,2.36E-05,2.51E+13,3.54E-05,2.53E+13,5.61E-05,2.56E+13,8.55E-05
4.05E+13,2.46E-05,3.98E+13,2.00E-05,3.56E+13,1.81E-05,3.79E+13,1.75E-05,2.63E+13,2.36E-05,2.71E+13,3.54E-05,2.84E+13,5.60E-05,2.69E+13,8.55E-05
4.38E+13,2.46E-05,4.44E+13,2.00E-05,3.98E+13,1.81E-05,4.13E+13,1.75E-05,2.85E+13,2.36E-05,2.96E+13,3.54E-05,2.97E+13,5.60E-05,3.02E+13,8.54E-05
4.72E+13,2.46E-05,4.66E+13,2.00E-05,4.17E+13,1.81E-05,4.50E+13,1.75E-05,3.18E+13,2.36E-05,3.14E+13,3.54E-05,3.21E+13,5.60E-05,3.38E+13,8.54E-05
5.12E+13,2.46E-05,5.13E+13,2.00E-05,4.39E+13,1.81E-05,4.84E+13,1.75E-05,3.46E+13,2.36E-05,3.52E+13,3.54E-05,3.55E+13,5.60E-05,3.70E+13,8.54E-05
5.54E+13,2.46E-05,5.45E+13,2.00E-05,4.75E+13,1.81E-05,5.05E+13,1.75E-05,3.57E+13,2.36E-05,3.60E+13,3.54E-05,3.68E+13,5.60E-05,3.75E+13,8.54E-05
6.02E+13,2.46E-05,5.83E+13,2.00E-05,5.25E+13,1.81E-05,5.38E+13,1.75E-05,3.92E+13,2.36E-05,3.92E+13,3.54E-05,4.04E+13,5.60E-05,3.94E+13,8.54E-05
6.50E+13,2.46E-05,6.38E+13,2.01E-05,5.60E+13,1.82E-05,5.88E+13,1.75E-05,4.21E+13,2.36E-05,4.30E+13,3.54E-05,4.50E+13,5.60E-05,4.42E+13,8.53E-05
7.06E+13,2.47E-05,6.79E+13,2.01E-05,5.93E+13,1.82E-05,6.40E+13,1.75E-05,4.56E+13,2.36E-05,4.65E+13,3.54E-05,4.68E+13,5.60E-05,5.04E+13,8.53E-05
7.76E+13,2.47E-05,7.34E+13,2.01E-05,6.40E+13,1.82E-05,6.83E+13,1.75E-05,4.99E+13,2.36E-05,5.12E+13,3.54E-05,5.17E+13,5.60E-05,5.31E+13,8.52E-05
8.38E+13,2.47E-05,7.91E+13,2.01E-05,6.79E+13,1.82E-05,7.34E+13,1.76E-05,5.15E+13,2.36E-05,5.39E+13,3.54E-05,5.64E+13,5.59E-05,5.80E+13,8.52E-05
9.19E+13,2.47E-05,8.60E+13,2.01E-05,7.39E+13,1.82E-05,7.84E+13,1.76E-05,5.62E+13,2.36E-05,5.68E+13,3.54E-05,6.05E+13,5.59E-05,6.12E+13,8.52E-05
1.01E+14,2.48E-05,9.31E+13,2.01E-05,7.91E+13,1.82E-05,8.36E+13,1.76E-05,6.11E+13,2.36E-05,6.15E+13,3.54E-05,6.45E+13,5.59E-05,6.56E+13,8.51E-05
1.10E+14,2.48E-05,1.02E+14,2.02E-05,8.49E+13,1.82E-05,9.01E+13,1.76E-05,6.64E+13,2.36E-05,6.62E+13,3.54E-05,6.83E+13,5.59E-05,7.24E+13,8.51E-05
1.21E+14,2.48E-05,1.10E+14,2.02E-05,8.98E+13,1.82E-05,9.76E+13,1.76E-05,7.08E+13,2.36E-05,7.17E+13,3.54E-05,7.54E+13,5.59E-05,7.88E+13,8.50E-05
1.33E+14,2.49E-05,1.19E+14,2.02E-05,9.83E+13,1.83E-05,1.05E+14,1.76E-05,7.49E+13,2.36E-05,7.68E+13,3.54E-05,8.17E+13,5.58E-05,8.28E+13,8.50E-05
1.46E+14,2.49E-05,1.28E+14,2.03E-05,1.05E+14,1.83E-05,1.12E+14,1.76E-05,7.99E+13,2.36E-05,8.24E+13,3.54E-05,8.76E+13,5.58E-05,9.09E+13,8.49E-05
1.61E+14,2.49E-05,1.39E+14,2.03E-05,1.13E+14,1.83E-05,1.21E+14,1.77E-05,8.71E+13,2.37E-05,9.07E+13,3.54E-05,9.49E+13,5.58E-05,9.42E+13,8.49E-05
1.77E+14,2.50E-05,1.52E+14,2.03E-05,1.20E+14,1.83E-05,1.30E+14,1.77E-05,9.39E+13,2.37E-05,9.73E+13,3.54E-05,1.03E+14,5.58E-05,1.06E+14,8.48E-05
1.98E+14,2.51E-05,1.67E+14,2.04E-05,1.31E+14,1.83E-05,1.40E+14,1.77E-05,9.93E+13,2.37E-05,1.04E+14,3.54E-05,1.11E+14,5.57E-05,1.15E+14,8.47E-05
2.21E+14,2.51E-05,1.81E+14,2.04E-05,1.41E+14,1.84E-05,1.50E+14,1.77E-05,1.06E+14,2.37E-05,1.12E+14,3.54E-05,1.19E+14,5.57E-05,1.24E+14,8.46E-05
2.46E+14,2.52E-05,1.98E+14,2.05E-05,1.52E+14,1.84E-05,1.62E+14,1.78E-05,1.14E+14,2.37E-05,1.20E+14,3.54E-05,1.28E+14,5.57E-05,1.32E+14,8.46E-05
2.76E+14,2.53E-05,2.16E+14,2.05E-05,1.64E+14,1.84E-05,1.74E+14,1.78E-05,1.23E+14,2.37E-05,1.29E+14,3.54E-05,1.39E+14,5.56E-05,1.43E+14,8.45E-05
3.10E+14,2.54E-05,2.37E+14,2.06E-05,1.77E+14,1.85E-05,1.87E+14,1.78E-05,1.33E+14,2.37E-05,1.41E+14,3.53E-05,1.50E+14,5.56E-05,1.57E+14,8.44E-05
3.49E+14,2.55E-05,2.61E+14,2.07E-05,1.91E+14,1.85E-05,2.02E+14,1.79E-05,1.42E+14,2.37E-05,1.51E+14,3.53E-05,1.63E+14,5.55E-05,1.69E+14,8.43E-05
3.97E+14,2.56E-05,2.86E+14,2.07E-05,2.07E+14,1.85E-05,2.17E+14,1.79E-05,1.54E+14,2.37E-05,1.62E+14,3.53E-05,1.74E+14,5.55E-05,1.83E+14,8.41E-05
4.52E+14,2.58E-05,3.17E+14,2.08E-05,2.24E+14,1.86E-05,2.34E+14,1.79E-05,1.64E+14,2.38E-05,1.73E+14,3.53E-05,1.87E+14,5.54E-05,1.98E+14,8.40E-05
5.16E+14,2.60E-05,3.51E+14,2.09E-05,2.44E+14,1.86E-05,2.54E+14,1.80E-05,1.77E+14,2.38E-05,1.86E+14,3.53E-05,2.04E+14,5.54E-05,2.15E+14,8.39E-05
5.92E+14,2.62E-05,3.89E+14,2.10E-05,2.64E+14,1.87E-05,2.74E+14,1.80E-05,1.91E+14,2.38E-05,2.01E+14,3.53E-05,2.21E+14,5.53E-05,2.34E+14,8.37E-05
6.83E+14,2.64E-05,4.32E+14,2.12E-05,2.88E+14,1.87E-05,2.95E+14,1.81E-05,2.06E+14,2.38E-05,2.18E+14,3.53E-05,2.40E+14,5.53E-05,2.53E+14,8.36E-05
7.89E+14,2.67E-05,4.80E+14,2.13E-05,3.14E+14,1.88E-05,3.20E+14,1.81E-05,2.21E+14,2.38E-05,2.35E+14,3.53E-05,2.59E+14,5.52E-05,2.75E+14,8.34E-05
9.14E+14,2.70E-05,5.37E+14,2.14E-05,3.42E+14,1.89E-05,3.46E+14,1.82E-05,2.39E+14,2.39E-05,2.53E+14,3.53E-05,2.82E+14,5.51E-05,2.95E+14,8.32E-05
1.06E+15,2.73E-05,6.03E+14,2.16E-05,3.73E+14,1.89E-05,3.75E+14,1.82E-05,2.58E+14,2.39E-05,2.72E+14,3.53E-05,3.02E+14,5.50E-05,3.20E+14,8.30E-05
1.23E+15,2.77E-05,6.74E+14,2.18E-05,4.07E+14,1.90E-05,4.06E+14,1.83E-05,2.78E+14,2.39E-05,2.94E+14,3.53E-05,3.28E+14,5.50E-05,3.47E+14,8.28E-05
1.43E+15,2.81E-05,7.58E+14,2.20E-05,4.46E+14,1.91E-05,4.39E+14,1.84E-05,3.00E+14,2.39E-05,3.18E+14,3.53E-05,3.55E+14,5.49E-05,3.75E+14,8.26E-05
1.65E+15,2.85E-05,8.55E+14,2.22E-05,4.89E+14,1.92E-05,4.78E+14,1.84E-05,3.24E+14,2.40E-05,3.39E+14,3.53E-05,3.84E+14,5.48E-05,4.06E+14,8.24E-05
1.91E+15,2.90E-05,9.67E+14,2.25E-05,5.38E+14,1.93E-05,5.19E+14,1.85E-05,3.51E+14,2.40E-05,3.67E+14,3.53E-05,4.17E+14,5.46E-05,4.39E+14,8.21E-05
2.19E+15,2.95E-05,1.09E+15,2.28E-05,5.91E+14,1.94E-05,5.64E+14,1.86E-05,3.79E+14,2.40E-05,3.96E+14,3.52E-05,4.51E+14,5.45E-05,4.75E+14,8.19E-05
2.35E+15,2.97E-05,1.24E+15,2.31E-05,6.50E+14,1.95E-05,6.13E+14,1.87E-05,4.10E+14,2.41E-05,4.28E+14,3.52E-05,4.87E+14,5.44E-05,5.14E+14,8.16E-05
2.50E+15,3.00E-05,1.40E+15,2.35E-05,7.17E+14,1.97E-05,6.66E+14,1.88E-05,4.42E+14,2.41E-05,4.62E+14,3.52E-05,5.26E+14,5.43E-05,5.56E+14,8.13E-05
2.51E+15,3.00E-05,1.59E+15,2.38E-05,7.92E+14,1.98E-05,7.25E+14,1.89E-05,4.77E+14,2.41E-05,4.97E+14,3.52E-05,5.67E+14,5.42E-05,6.00E+14,8.10E-05
2.83E+15,3.04E-05,1.81E+15,2.42E-05,8.76E+14,2.00E-05,7.90E+14,1.90E-05,5.17E+14,2.42E-05,5.35E+14,3.52E-05,6.09E+14,5.40E-05,6.48E+14,8.06E-05
2.87E+15,3.05E-05,2.05E+15,2.46E-05,9.70E+14,2.02E-05,8.60E+14,1.92E-05,5.60E+14,2.42E-05,5.78E+14,3.52E-05,6.61E+14,5.39E-05,6.99E+14,8.03E-05
3.19E+15,3.09E-05,2.32E+15,2.51E-05,1.07E+15,2.04E-05,9.39E+14,1.93E-05,6.06E+14,2.43E-05,6.22E+14,3.52E-05,7.12E+14,5.37E-05,7.55E+14,7.99E-05
3.26E+15,3.10E-05,2.63E+15,2.55E-05,1.19E+15,2.06E-05,1.02E+15,1.95E-05,6.53E+14,2.43E-05,6.71E+14,3.51E-05,7.66E+14,5.36E-05,8.11E+14,7.95E-05
3.58E+15,3.14E-05,2.96E+15,2.60E-05,1.32E+15,2.08E-05,1.12E+15,1.96E-05,7.07E+14,2.44E-05,7.22E+14,3.51E-05,8.26E+14,5.34E-05,8.72E+14,7.91E-05
3.69E+15,3.15E-05,3.24E+15,2.63E-05,1.47E+15,2.10E-05,1.22E+15,1.98E-05,7.66E+14,2.45E-05,7.75E+14,3.51E-05,8.86E+14,5.32E-05,9.37E+14,7.87E-05
4.02E+15,3.18E-05,3.34E+15,2.65E-05,1.64E+15,2.13E-05,1.34E+15,2.00E-05,8.31E+14,2.45E-05,8.38E+14,3.51E-05,9.54E+14,5.30E-05,1.01E+15,7.83E-05
4.50E+15,3.23E-05,3.41E+15,2.65E-05,1.82E+15,2.16E-05,1.46E+15,2.02E-05,9.00E+14,2.46E-05,9.02E+14,3.51E-05,1.03E+15,5.28E-05,1.08E+15,7.78E-05
5.02E+15,3.28E-05,3.75E+15,2.69E-05,2.03E+15,2.19E-05,1.60E+15,2.04E-05,9.73E+14,2.47E-05,9.72E+14,3.50E-05,1.11E+15,5.26E-05,1.16E+15,7.73E-05
5.59E+15,3.32E-05,3.79E+15,2.70E-05,2.26E+15,2.22E-05,1.75E+15,2.06E-05,1.06E+15,2.48E-05,1.05E+15,3.50E-05,1.19E+15,5.24E-05,1.25E+15,7.68E-05
6.22E+15,3.37E-05,4.19E+15,2.74E-05,2.52E+15,2.25E-05,1.92E+15,2.08E-05,1.15E+15,2.49E-05,1.13E+15,3.50E-05,1.27E+15,5.22E-05,1.33E+15,7.64E-05
6.91E+15,3.41E-05,4.20E+15,2.74E-05,2.80E+15,2.28E-05,2.10E+15,2.10E-05,1.24E+15,2.49E-05,1.21E+15,3.50E-05,1.37E+15,5.19E-05,1.43E+15,7.58E-05
7.66E+15,3.45E-05,4.65E+15,2.78E-05,3.12E+15,2.31E-05,2.30E+15,2.12E-05,1.35E+15,2.50E-05,1.30E+15,3.49E-05,1.47E+15,5.17E-05,1.53E+15,7.53E-05
8.47E+15,3.49E-05,4.69E+15,2.79E-05,3.47E+15,2.35E-05,2.52E+15,2.15E-05,1.46E+15,2.51E-05,1.41E+15,3.49E-05,1.58E+15,5.15E-05,1.63E+15,7.48E-05
9.35E+15,3.53E-05,5.14E+15,2.82E-05,3.86E+15,2.38E-05,2.77E+15,2.18E-05,1.59E+15,2.52E-05,1.51E+15,3.49E-05,1.69E+15,5.12E-05,1.75E+15,7.42E-05
1.03E+16,3.57E-05,5.68E+15,2.86E-05,4.13E+15,2.40E-05,3.04E+15,2.20E-05,1.72E+15,2.54E-05,1.63E+15,3.48E-05,1.81E+15,5.09E-05,1.87E+15,7.36E-05
1.13E+16,3.60E-05,6.26E+15,2.91E-05,4.28E+15,2.42E-05,3.33E+15,2.23E-05,1.87E+15,2.55E-05,1.76E+15,3.48E-05,1.95E+15,5.07E-05,2.00E+15,7.30E-05
1.25E+16,3.64E-05,6.90E+15,2.95E-05,4.33E+15,2.42E-05,3.66E+15,2.26E-05,2.03E+15,2.56E-05,1.89E+15,3.48E-05,2.09E+15,5.04E-05,2.13E+15,7.24E-05
1.36E+16,3.67E-05,7.60E+15,2.98E-05,4.74E+15,2.45E-05,4.01E+15,2.29E-05,2.21E+15,2.57E-05,2.04E+15,3.47E-05,2.24E+15,5.01E-05,2.27E+15,7.18E-05
1.49E+16,3.70E-05,8.36E+15,3.02E-05,4.75E+15,2.45E-05,4.40E+15,2.31E-05,2.40E+15,2.58E-05,2.19E+15,3.47E-05,2.40E+15,4.98E-05,2.43E+15,7.11E-05
1.63E+16,3.72E-05,9.19E+15,3.06E-05,5.20E+15,2.48E-05,4.83E+15,2.34E-05,2.61E+15,2.60E-05,2.36E+15,3.47E-05,2.57E+15,4.95E-05,2.59E+15,7.05E-05
1.76E+16,3.75E-05,1.01E+16,3.09E-05,5.25E+15,2.49E-05,5.30E+15,2.37E-05,2.84E+15,2.61E-05,2.55E+15,3.46E-05,2.75E+15,4.92E-05,2.76E+15,6.98E-05
